Stock,Region,Area,BY,S,R
Area 9,BC Central Coast,South,1983,124.28,352.64
Area 9,BC Central Coast,South,1984,138.1,440.59
Area 9,BC Central Coast,South,1985,276.7,173.08
Area 9,BC Central Coast,South,1986,289.82,390.93
Area 9,BC Central Coast,South,1987,65.19,30.26
Area 9,BC Central Coast,South,1988,242.15,410.56
Area 9,BC Central Coast,South,1989,25.62,6.99
Area 9,BC Central Coast,South,1990,257.2,291.53
Area 9,BC Central Coast,South,1991,4.99,15.38
Area 9,BC Central Coast,South,1992,158.59,116.53
Area 9,BC Central Coast,South,1993,13.1,18.63
Area 9,BC Central Coast,South,1994,97.55,333.2
Area 9,BC Central Coast,South,1995,18,156.92
Area 9,BC Central Coast,South,1996,333.2,155.5
Area 8,BC Central Coast,South,1950,260.61,1184.32
Area 8,BC Central Coast,South,1951,988.17,945.17
Area 8,BC Central Coast,South,1952,545.29,1202.64
Area 8,BC Central Coast,South,1953,428.15,527.1
Area 8,BC Central Coast,South,1954,351.38,1810.23
Area 8,BC Central Coast,South,1955,350.29,919.62
Area 8,BC Central Coast,South,1956,781.08,1085.04
Area 8,BC Central Coast,South,1957,571.78,957.27
Area 8,BC Central Coast,South,1958,283.41,3052.16
Area 8,BC Central Coast,South,1959,530.05,2982.9
Area 8,BC Central Coast,South,1960,1571.37,16054.13
Area 8,BC Central Coast,South,1961,1249,2767.4
Area 8,BC Central Coast,South,1962,3910.09,3594.02
Area 8,BC Central Coast,South,1963,748.43,801.3
Area 8,BC Central Coast,South,1964,763.13,3059.85
Area 8,BC Central Coast,South,1965,222.1,86.33
Area 8,BC Central Coast,South,1966,939.85,7445.62
Area 8,BC Central Coast,South,1967,66.31,77.98
Area 8,BC Central Coast,South,1968,2095,2743.46
Area 8,BC Central Coast,South,1969,59.93,292.96
Area 8,BC Central Coast,South,1970,731.1,2440.87
Area 8,BC Central Coast,South,1971,257.15,223.66
Area 8,BC Central Coast,South,1972,1356.1,4235.82
Area 8,BC Central Coast,South,1973,166.88,240.53
Area 8,BC Central Coast,South,1974,1469.9,3289.43
Area 8,BC Central Coast,South,1975,150.1,529.52
Area 8,BC Central Coast,South,1976,1382.2,4053.95
Area 8,BC Central Coast,South,1977,434.69,1805.03
Area 8,BC Central Coast,South,1978,2293.48,2011.08
Area 8,BC Central Coast,South,1979,1123.33,2345.96
Area 8,BC Central Coast,South,1980,1127.73,234.53
Area 8,BC Central Coast,South,1981,737.36,2206.18
Area 8,BC Central Coast,South,1982,195.59,1138.27
Area 8,BC Central Coast,South,1983,1420.27,4009.01
Area 8,BC Central Coast,South,1984,967.21,6692.27
Area 8,BC Central Coast,South,1985,2793.62,780.24
Area 8,BC Central Coast,South,1986,3271.54,13911.81
Area 8,BC Central Coast,South,1987,383.06,680.92
Area 8,BC Central Coast,South,1988,5204.57,6394.9
Area 8,BC Central Coast,South,1989,522.53,2513.51
Area 8,BC Central Coast,South,1990,2759.84,7322.76
Area 8,BC Central Coast,South,1991,2399.35,1442.57
Area 8,BC Central Coast,South,1992,4614.4,929.66
Area 8,BC Central Coast,South,1993,1184.71,853.53
Area 8,BC Central Coast,South,1994,367.79,2210.85
Area 8,BC Central Coast,South,1995,629.1,1882.73
Area 8,BC Central Coast,South,1996,1844.35,1113.77
Area 6,BC North Coast,South,1950,204.48,1857.25
Area 6,BC North Coast,South,1951,633.83,268.62
Area 6,BC North Coast,South,1952,480.55,790.78
Area 6,BC North Coast,South,1953,121.09,525.71
Area 6,BC North Coast,South,1954,210.9,2268.59
Area 6,BC North Coast,South,1955,151.33,237.34
Area 6,BC North Coast,South,1956,537.03,1494.36
Area 6,BC North Coast,South,1957,62.03,378.12
Area 6,BC North Coast,South,1958,416.08,1364.35
Area 6,BC North Coast,South,1959,241.98,1712.84
Area 6,BC North Coast,South,1960,568.18,6628.07
Area 6,BC North Coast,South,1961,670.48,2834.38
Area 6,BC North Coast,South,1962,2822.73,2938.38
Area 6,BC North Coast,South,1963,1329.75,1738.3
Area 6,BC North Coast,South,1964,1509.23,4485.55
Area 6,BC North Coast,South,1965,509.15,196.11
Area 6,BC North Coast,South,1966,1139.5,4249.94
Area 6,BC North Coast,South,1967,95.53,139.84
Area 6,BC North Coast,South,1968,1182.3,3544.64
Area 6,BC North Coast,South,1969,105.42,606.81
Area 6,BC North Coast,South,1970,753.7,6112.82
Area 6,BC North Coast,South,1971,366.45,633.71
Area 6,BC North Coast,South,1972,1023.9,926.59
Area 6,BC North Coast,South,1973,233.04,348.93
Area 6,BC North Coast,South,1974,400.93,1508.33
Area 6,BC North Coast,South,1975,309.08,546.79
Area 6,BC North Coast,South,1976,1021.29,3581.34
Area 6,BC North Coast,South,1977,142.69,1214.7
Area 6,BC North Coast,South,1978,853.86,3615.58
Area 6,BC North Coast,South,1979,489.72,1627.9
Area 6,BC North Coast,South,1980,740.11,984.04
Area 6,BC North Coast,South,1981,377.4,4045.53
Area 6,BC North Coast,South,1982,403.27,1240.06
Area 6,BC North Coast,South,1983,476.79,2552.29
Area 6,BC North Coast,South,1984,638.85,6073.83
Area 6,BC North Coast,South,1985,1044.8,1603.74
Area 6,BC North Coast,South,1986,1429.76,9159.52
Area 6,BC North Coast,South,1987,673.62,623.26
Area 6,BC North Coast,South,1988,1448.58,2854.81
Area 6,BC North Coast,South,1989,579.4,1141.7
Area 6,BC North Coast,South,1990,954.62,1247.84
Area 6,BC North Coast,South,1991,611.92,286
Area 6,BC North Coast,South,1992,700.8,353.5
Area 6,BC North Coast,South,1993,277.79,618.14
Area 6,BC North Coast,South,1994,237.02,1420.77
Area 6,BC North Coast,South,1995,593.59,433.12
Area 2E,BC North Coast,South,1950,357.25,1308.89
Area 2E,BC North Coast,South,1951,29.78,26.32
Area 2E,BC North Coast,South,1952,715.05,760.82
Area 2E,BC North Coast,South,1953,25.78,52.91
Area 2E,BC North Coast,South,1954,406,415.47
Area 2E,BC North Coast,South,1955,23.28,173.85
Area 2E,BC North Coast,South,1956,261.6,737.24
Area 2E,BC North Coast,South,1957,46.28,147
Area 2E,BC North Coast,South,1958,312.9,566.68
Area 2E,BC North Coast,South,1959,142.28,58.58
Area 2E,BC North Coast,South,1960,370.7,1521.05
Area 2E,BC North Coast,South,1961,42.33,115.4
Area 2E,BC North Coast,South,1962,677.45,176.45
Area 2E,BC North Coast,South,1963,115.4,45.92
Area 2E,BC North Coast,South,1964,138.8,784.77
Area 2E,BC North Coast,South,1965,45.7,75.31
Area 2E,BC North Coast,South,1966,509.38,1253.94
Area 2E,BC North Coast,South,1967,71.95,146.16
Area 2E,BC North Coast,South,1968,769.34,1385.87
Area 2E,BC North Coast,South,1969,120.43,27.44
Area 2E,BC North Coast,South,1970,808.36,1143.27
Area 2E,BC North Coast,South,1971,26.7,34.62
Area 2E,BC North Coast,South,1972,766.95,644.73
Area 2E,BC North Coast,South,1973,34.23,26.03
Area 2E,BC North Coast,South,1974,423.17,2233.2
Area 2E,BC North Coast,South,1975,20.37,11.51
Area 2E,BC North Coast,South,1976,615.1,774.89
Area 2E,BC North Coast,South,1977,8.58,21.79
Area 2E,BC North Coast,South,1978,528.39,306.18
Area 2E,BC North Coast,South,1979,21.79,9.43
Area 2E,BC North Coast,South,1980,305.17,164.3
Area 2E,BC North Coast,South,1981,9.25,13.24
Area 2E,BC North Coast,South,1982,164.2,235.48
Area 2E,BC North Coast,South,1983,13.24,29.37
Area 2E,BC North Coast,South,1984,191.85,1056.91
Area 2E,BC North Coast,South,1985,19.99,35.8
Area 2E,BC North Coast,South,1986,703.76,710.55
Area 2E,BC North Coast,South,1987,35.57,25.98
Area 2E,BC North Coast,South,1988,572.3,1211.59
Area 2E,BC North Coast,South,1989,23.26,14.21
Area 2E,BC North Coast,South,1990,876.18,677.87
Area 2E,BC North Coast,South,1991,14.07,18.35
Area 2E,BC North Coast,South,1992,654.26,586.62
Area 2E,BC North Coast,South,1993,18.14,3.88
Area 2E,BC North Coast,South,1994,501.81,624.37
Area 2E,BC North Coast,South,1995,3.84,5.62
SEAK S,Southeast Alaska,North,1960,1363.4,14302.77
SEAK S,Southeast Alaska,North,1961,948.17,9797.11
SEAK S,Southeast Alaska,North,1962,3295.48,16700.79
SEAK S,Southeast Alaska,North,1963,4651.88,9612.62
SEAK S,Southeast Alaska,North,1964,5441.8,22764.43
SEAK S,Southeast Alaska,North,1965,3902.16,1671.56
SEAK S,Southeast Alaska,North,1966,7114.73,19792.26
SEAK S,Southeast Alaska,North,1967,1030.02,4208.08
SEAK S,Southeast Alaska,North,1968,4591.56,9221.73
SEAK S,Southeast Alaska,North,1969,3010.39,11427.03
SEAK S,Southeast Alaska,North,1970,3810.11,13262.36
SEAK S,Southeast Alaska,North,1971,5179.44,8673.89
SEAK S,Southeast Alaska,North,1972,4109.36,8076.72
SEAK S,Southeast Alaska,North,1973,4118.89,9403.25
SEAK S,Southeast Alaska,North,1974,3855.72,13915.96
SEAK S,Southeast Alaska,North,1975,6073.25,25377.18
SEAK S,Southeast Alaska,North,1976,8758.96,30480.23
SEAK S,Southeast Alaska,North,1977,14135.18,17390.94
SEAK S,Southeast Alaska,North,1978,12055.23,25591.34
SEAK S,Southeast Alaska,North,1979,10398.94,25289.36
SEAK S,Southeast Alaska,North,1980,12684.34,22393.02
SEAK S,Southeast Alaska,North,1981,11821.36,46026.86
SEAK S,Southeast Alaska,North,1982,9476.02,38440.27
SEAK S,Southeast Alaska,North,1983,14605.86,56955.48
SEAK S,Southeast Alaska,North,1984,18803.27,76929.92
SEAK S,Southeast Alaska,North,1985,26255.48,17406.26
SEAK S,Southeast Alaska,North,1986,31929.92,17569.48
SEAK S,Southeast Alaska,North,1987,12806.26,65850.44
SEAK S,Southeast Alaska,North,1988,8522.48,42457.44
SEAK S,Southeast Alaska,North,1989,20050.44,58805.83
SEAK S,Southeast Alaska,North,1990,15757.44,35377.06
SEAK S,Southeast Alaska,North,1991,15305.83,58847.86
SEAK S,Southeast Alaska,North,1992,16377.06,36654.6
SEAK S,Southeast Alaska,North,1993,19847.86,66624.78
SEAK S,Southeast Alaska,North,1994,15554.6,98932.04
SEAK S,Southeast Alaska,North,1995,25324.78,31997.55
SEAK S,Southeast Alaska,North,1996,45232.04,72329.65
SEAK N Inside,Southeast Alaska,North,1960,608.45,2052.75
SEAK N Inside,Southeast Alaska,North,1961,1940.7,15462.65
SEAK N Inside,Southeast Alaska,North,1962,1565.48,9030.79
SEAK N Inside,Southeast Alaska,North,1963,2834.51,6102.59
SEAK N Inside,Southeast Alaska,North,1964,1819.1,6690.11
SEAK N Inside,Southeast Alaska,North,1965,1545.91,3676.61
SEAK N Inside,Southeast Alaska,North,1966,1929.06,12908.29
SEAK N Inside,Southeast Alaska,North,1967,1354.36,5500.47
SEAK N Inside,Southeast Alaska,North,1968,3067.44,8059.56
SEAK N Inside,Southeast Alaska,North,1969,2015.21,6081.45
SEAK N Inside,Southeast Alaska,North,1970,2882.64,6761.22
SEAK N Inside,Southeast Alaska,North,1971,3153,4540.26
SEAK N Inside,Southeast Alaska,North,1972,3566.05,2792.32
SEAK N Inside,Southeast Alaska,North,1973,2915.59,1466.06
SEAK N Inside,Southeast Alaska,North,1974,2190.82,1348.2
SEAK N Inside,Southeast Alaska,North,1975,1414.85,5068.89
SEAK N Inside,Southeast Alaska,North,1976,1309.35,7325.09
SEAK N Inside,Southeast Alaska,North,1977,4738.55,8961.77
SEAK N Inside,Southeast Alaska,North,1978,4686.75,5318.08
SEAK N Inside,Southeast Alaska,North,1979,6865.7,7175.02
SEAK N Inside,Southeast Alaska,North,1980,3963.7,17654.94
SEAK N Inside,Southeast Alaska,North,1981,4524.74,9656.93
SEAK N Inside,Southeast Alaska,North,1982,6834.68,9645.55
SEAK N Inside,Southeast Alaska,North,1983,6148.26,30058.03
SEAK N Inside,Southeast Alaska,North,1984,5886.19,6241.22
SEAK N Inside,Southeast Alaska,North,1985,14441.31,12654
SEAK N Inside,Southeast Alaska,North,1986,5350.78,6098.36
SEAK N Inside,Southeast Alaska,North,1987,7467.76,20703.59
SEAK N Inside,Southeast Alaska,North,1988,4129.31,11976.21
SEAK N Inside,Southeast Alaska,North,1989,7972.45,27581.79
SEAK N Inside,Southeast Alaska,North,1990,6541.01,23891.77
SEAK N Inside,Southeast Alaska,North,1991,9550.21,24634.61
SEAK N Inside,Southeast Alaska,North,1992,8486.86,49721.47
SEAK N Inside,Southeast Alaska,North,1993,7579.14,11759.61
SEAK N Inside,Southeast Alaska,North,1994,14110.53,19678.79
SEAK N Inside,Southeast Alaska,North,1995,6905.15,22950.67
SEAK N Inside,Southeast Alaska,North,1996,10592.32,22501.9
SEAK N Outside,Southeast Alaska,North,1960,261.42,571.21
SEAK N Outside,Southeast Alaska,North,1961,1265.68,4064.06
SEAK N Outside,Southeast Alaska,North,1962,508.3,778.14
SEAK N Outside,Southeast Alaska,North,1963,2771.33,1977.66
SEAK N Outside,Southeast Alaska,North,1964,707.74,533.55
SEAK N Outside,Southeast Alaska,North,1965,1369.29,609.18
SEAK N Outside,Southeast Alaska,North,1966,507.54,584.78
SEAK N Outside,Southeast Alaska,North,1967,494.25,1477.44
SEAK N Outside,Southeast Alaska,North,1968,543.25,587.35
SEAK N Outside,Southeast Alaska,North,1969,1354.63,1054.57
SEAK N Outside,Southeast Alaska,North,1970,522.63,804.88
